"Wavelength, µm",n,k
4.0007,1.39128,0.000187
4.0131,1.39093,0.000174
4.0255,1.39025,0.000136
4.0381,1.38993,0.000108
4.0507,1.38997,0.0000899
4.0634,1.39025,0.0000787
4.0762,1.39022,0.0000717
4.089,1.38974,0.0000673
4.102,1.3893,0.0000645
4.115,1.38929,0.000063
4.1281,1.38936,0.0000626
4.1413,1.38912,0.0000632
4.1546,1.38879,0.0000645
4.1679,1.38875,0.0000664
4.1814,1.38874,0.0000687
4.1949,1.38886,0.0000711
4.2085,1.38916,0.0000734
4.2222,1.38994,0.000076
4.236,1.38929,0.0000801
4.2499,1.38714,0.0000844
4.2639,1.38749,0.0000878
4.278,1.38893,0.0000923
4.2921,1.38864,0.0000986
4.3064,1.38701,0.000106
4.3208,1.38723,0.000114
4.3352,1.38775,0.000124
4.3498,1.38746,0.000134
4.3644,1.38661,0.000147
4.3791,1.38593,0.000162
4.394,1.38561,0.000175
4.4089,1.38551,0.000186
4.424,1.38542,0.000193
4.4391,1.38535,0.000199
4.4544,1.38523,0.000205
4.4697,1.38444,0.000213
4.4852,1.38377,0.000222
4.5008,1.38368,0.00023
4.5165,1.38353,0.000235
4.5323,1.38336,0.000239
4.5482,1.38332,0.000242
4.5642,1.38294,0.000244
4.5803,1.38233,0.000244
4.5965,1.38243,0.000243
4.6129,1.38292,0.00024
4.6294,1.3828,0.000241
4.646,1.38261,0.000246
4.6627,1.3825,0.00025
4.6795,1.38226,0.000248
4.6965,1.38173,0.000247
4.7136,1.38121,0.000247
4.7308,1.38039,0.000249
4.7481,1.37976,0.00025
4.7655,1.37976,0.000254
4.7831,1.37999,0.000257
4.8008,1.37979,0.000259
4.8187,1.37925,0.00026
4.8367,1.37867,0.000259
4.8548,1.37801,0.00026
4.873,1.37747,0.000261
4.8914,1.3773,0.000259
4.91,1.3771,0.000262
4.9286,1.37647,0.000264
4.9474,1.37595,0.000265
4.9664,1.37552,0.000268
4.9855,1.37505,0.000268
5.0047,1.3752,0.000267
5.0241,1.37538,0.000268
5.0437,1.37499,0.000273
5.0634,1.37463,0.00027
5.0832,1.3745,0.000274
5.1033,1.37445,0.000275
5.1234,1.37467,0.000276
5.1438,1.37432,0.00028
5.1643,1.37384,0.000274
5.1849,1.37399,0.000272
5.2057,1.37398,0.000279
5.2267,1.37307,0.000283
5.2479,1.37199,0.000281
5.2692,1.37158,0.000281
5.2907,1.37117,0.000287
5.3124,1.37023,0.000293
5.3343,1.36935,0.00029
5.3563,1.36952,0.00028
5.3785,1.36938,0.000287
5.4009,1.36887,0.000293
5.4235,1.36838,0.000296
5.4463,1.36772,0.000293
5.4693,1.36709,0.000294
5.4925,1.36624,0.000294
5.5159,1.36549,0.000297
5.5394,1.365,0.000297
